Fecha,y1,y2
06-11-06,529.45,390.12
07-11-06,529.43,389.25
08-11-06,529.39,389.44
09-11-06,529.34,389.36
10-11-06,529.27,390
11-11-06,529.22,389.86
12-11-06,529.22,390.24
13-11-06,529.22,390.06
14-11-06,529.21,389.2
15-11-06,529.16,389.55
16-11-06,529.11,390.41
17-11-06,529.06,389.95
18-11-06,529,390.32
19-11-06,528.99,390.67
20-11-06,528.99,390.66
21-11-06,529.03,389.93
22-11-06,529.01,389.77
23-11-06,529,389.46
24-11-06,528.96,389.94
25-11-06,528.94,390.23
26-11-06,528.92,390.64
27-11-06,528.93,390.99
28-11-06,528.9,391.23
29-11-06,528.85,391.92
30-11-06,528.8,392.13
01-12-06,528.79,392.28
02-12-06,528.82,392.18
03-12-06,528.86,391.76
04-12-06,528.84,391.56
05-12-06,528.82,391.94
06-12-06,528.77,391.7
07-12-06,528.75,392.14
08-12-06,528.74,391.87
09-12-06,528.74,392.1
10-12-06,528.71,392.1
11-12-06,528.72,391.96
12-12-06,528.7,392.18
13-12-06,528.7,392.26
14-12-06,528.67,391.91
15-12-06,528.65,391.87
16-12-06,528.63,392.11
17-12-06,528.63,391.94
18-12-06,528.64,391.71
19-12-06,528.61,391.55
20-12-06,528.58,392.02
21-12-06,528.54,392.2
22-12-06,528.5,392.14
23-12-06,528.46,391.67
24-12-06,528.43,391.5
25-12-06,528.4,391.25
26-12-06,528.39,391.91
27-12-06,528.35,391.61
28-12-06,528.33,391.45
29-12-06,528.3,391.43
30-12-06,528.27,391.85
31-12-06,528.24,392.03
01-01-07,528.23,392.1
02-01-07,528.23,392.14
03-01-07,528.18,391.05
04-01-07,528.08,391.07
05-01-07,527.97,391.85
06-01-07,527.93,391.85
07-01-07,527.9,392.23
08-01-07,527.91,392.38
09-01-07,527.88,391.75
10-01-07,527.87,392.17
11-01-07,527.86,392.56
12-01-07,527.86,392.54
13-01-07,527.87,392.49
14-01-07,527.89,392.57
15-01-07,527.91,392.34
16-01-07,527.92,391.37
17-01-07,527.92,391.37
18-01-07,527.92,391.32
19-01-07,527.88,391.68
20-01-07,527.86,391.85
21-01-07,527.85,392.3
22-01-07,527.84,392.13
23-01-07,527.82,392.06
24-01-07,527.8,392.08
