nombre,Fecha,data
x1,2006-11-16,14
x1,2006-11-17,28.21
x1,2006-11-18,24.72
x1,2006-11-19,3.58
x1,2006-11-20,28.56
x1,2006-11-21,26.51
x1,2006-11-22,19.04
x1,2006-11-23,21.07
x1,2006-11-24,13.44
x1,2006-11-25,16.81
x1,2006-11-26,25.05
x1,2006-11-27,15.91
x1,2006-11-28,16.77
x1,2006-11-29,5.15
x1,2006-11-30,9.75
x1,2006-12-01,19.45
x1,2006-12-02,31.31
x1,2006-12-03,10.11
x1,2006-12-04,12.55
x1,2006-12-05,13.46
x1,2006-12-06,26.64
x1,2006-12-07,8.02
x1,2006-12-08,22.26
x1,2006-12-09,6.78
x1,2006-12-10,20.07
x1,2006-12-11,18.1
x1,2006-12-12,2.05
x1,2006-12-13,14.06
x1,2006-12-14,19.95
x1,2006-12-15,11.42
x1,2006-12-16,1.33
x1,2006-12-17,15.26
x1,2006-12-18,15.22
x1,2006-12-19,25.48
x1,2006-12-20,14.82
x1,2006-12-21,11.8
x1,2006-12-22,0.84
x1,2006-12-23,16.24
x1,2006-12-24,5.78
x1,2006-12-25,16.51
x1,2006-12-26,21.12
x1,2006-12-27,8.81
x1,2006-12-28,16.39
x1,2006-12-29,17.74
x1,2006-12-30,7.37
x1,2006-12-31,5.94
x1,2007-01-01,7.72
x1,2007-01-02,15.1
x1,2007-01-03,4.16
x1,2007-01-04,6.38
x1,2007-01-05,15.05
x1,2007-01-06,8.76
x1,2007-01-07,9.96
x1,2007-01-08,11.13
x1,2007-01-09,21.42
x1,2007-01-10,-0.22
x1,2007-01-11,0.94
x1,2007-01-12,6.69
x1,2007-01-13,12.1
x1,2007-01-14,12.1
x1,2007-01-15,6.93
x1,2007-01-16,10.82
x1,2007-01-17,18.66
x1,2007-01-18,7.13
x1,2007-01-19,8.28
x1,2007-01-20,4.09
x1,2007-01-21,2.4
x1,2007-01-22,8.42
x1,2007-01-23,11.03
x1,2007-01-24,6.26
x1,2007-01-25,9.51
x1,2007-01-26,8.28
x1,2007-01-27,5.82
x1,2007-01-28,1.38
x1,2007-01-29,5.92
x1,2007-01-30,5.75
x1,2007-01-31,4.54
x1,2007-02-01,11.11
x1,2007-02-02,13.99
x1,2007-02-03,18.85
x1,2007-02-04,9.56
x1,2007-02-05,5.94
x1,2007-02-06,10.66
x1,2007-02-07,8.77
x1,2007-02-08,4.54
x1,2007-02-09,6.87
x1,2007-02-10,0.13
x1,2007-02-11,7.21
x1,2007-02-12,5.08
x1,2007-02-13,6
x1,2007-02-14,3.56
x1,2007-02-15,3.15
x1,2007-02-16,9.96
x1,2007-02-17,5.99
x1,2007-02-18,4.54
x1,2007-02-19,7.09
x1,2007-02-20,10.64
x1,2007-02-21,14.78
x1,2007-02-22,12.16
x1,2007-02-23,10.3
x1,2007-02-24,11.49
x1,2007-02-25,4.39
x1,2007-02-26,3.93
x1,2007-02-27,-0.24
x1,2007-02-28,3.44
x1,2007-03-01,5.3
x1,2007-03-02,14.8
x1,2007-03-03,7.66
x1,2007-03-04,-5.51
x1,2007-03-05,-1.64
x1,2007-03-06,14.07
x1,2007-03-07,0.04
x1,2007-03-08,3.44
x1,2007-03-09,1.7
x1,2007-03-10,7.37
x1,2007-03-11,0.05
x1,2007-03-12,3.41
x1,2007-03-13,4.7
x1,2007-03-14,3.18
x1,2007-03-15,0.37
x1,2007-03-16,-0.14
x1,2007-03-17,4.64
x1,2007-03-18,6.28
x1,2007-03-19,1.78
x1,2007-03-20,4
x1,2007-03-21,3.95
x1,2007-03-22,0.35
x1,2007-03-23,0.82
x1,2007-03-24,13.68
x1,2007-03-25,2.7
x1,2007-03-26,1.68
x1,2007-03-27,2.24
x1,2007-03-28,6.81
x1,2007-03-29,5.5
x1,2007-03-30,2.14
x1,2007-03-31,4.16
x1,2007-04-01,3.99
x1,2007-04-02,1.65
x1,2007-04-03,4.69
x1,2007-04-04,6.72
x1,2007-04-05,4.68
x1,2007-04-06,5.16
x1,2007-04-07,4.87
x1,2007-04-08,7.23
x1,2007-04-09,5.11
x1,2007-04-10,8.63
x1,2007-04-11,-14.35
x1,2007-04-12,16
x1,2007-04-13,-0.13
x1,2007-04-14,1.38
x1,2007-04-15,3.66
x1,2007-04-16,1.07
x1,2007-04-17,3.02
x1,2007-04-18,2.74
x1,2007-04-19,8.68
x1,2007-04-20,7.17
x1,2007-04-21,2.53
x1,2007-04-22,4.53
x1,2007-04-23,1.72
x1,2007-04-24,12.27
x1,2007-04-25,1.35
x1,2007-04-26,5.69
x1,2007-04-27,4.54
x1,2007-04-28,8.7
x1,2007-04-29,10.37
x1,2007-04-30,5.86
x1,2007-05-01,5.32
x1,2007-05-02,2.02
x1,2007-05-03,9.04
x1,2007-05-04,6.93
x1,2007-05-05,5.56
x1,2007-05-06,7.09
x1,2007-05-07,3.97
x1,2007-05-08,2.23
x1,2007-05-09,2.69
x1,2007-05-10,4.09
x1,2007-05-11,3.06
x1,2007-05-12,3.77
x1,2007-05-13,3.69
x1,2007-05-14,6.69
x1,2007-05-15,7.04
x1,2007-05-16,10.4
x1,2007-05-17,3.44
x1,2007-05-18,18.93
x1,2007-05-19,-14.82
x1,2007-05-20,3.16
x1,2007-05-21,3.36
x1,2007-05-22,10.57
x1,2007-05-23,5.25
x1,2007-05-24,4.28
x1,2007-05-25,3.22
x1,2007-05-26,6.13
x1,2007-05-27,29.65
x1,2007-05-28,5.61
x1,2007-05-29,7.22
x1,2007-05-30,30.12
x1,2007-05-31,16.3
x1,2007-06-01,6.87
x1,2007-06-02,12.74
x1,2007-06-03,17.72
x1,2007-06-04,3.31
x1,2007-06-05,21.51
x1,2007-06-06,16.07
x1,2007-06-07,29.34
x1,2007-06-08,25.26
x1,2007-06-09,4.65
x1,2007-06-10,19.39
x1,2007-06-11,26.34
x1,2007-06-12,19.07
x1,2007-06-13,16.53
x1,2007-06-14,4.88
x1,2007-06-15,30.27
x1,2007-06-16,21.55
x1,2007-06-17,36.03
x1,2007-06-18,44.87
x1,2007-06-19,13
x1,2007-06-20,15.88
x1,2007-06-21,10.54
x1,2007-06-22,11.22
x1,2007-06-23,15.73
x1,2007-06-24,11.03
x1,2007-06-25,15.65
x1,2007-06-26,25.11
x1,2007-06-27,13.41
x1,2007-06-28,6.71
x1,2007-06-29,18.23
x1,2007-06-30,18.69
x1,2007-07-01,6.61
x1,2007-07-02,16.37
x1,2007-07-03,14.59
x1,2007-07-04,27.22
x1,2007-07-05,3.86
x1,2007-07-06,5.89
x1,2007-07-07,16.32
x1,2007-07-08,6.57
x1,2007-07-09,20.61
x1,2007-07-10,9.85
x1,2007-07-11,9.35
